Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Yanmega,Bug,4,86,76,86,95,343,Mightyena,Dark,6,70,90,70,70,148,0,1581,469,262
Leafeon,Grass,1,65,110,130,95,400,Morgrem,Dark,6,65,60,45,70,130,0,1582,470,860
Glaceon,Ice,10,65,60,110,65,300,Murkrow,Dark,6,60,85,42,91,158,0,1583,471,198
Gliscor,Ground,9,75,95,125,95,390,Nickit,Dark,6,40,28,28,50,51,0,1584,472,827
Mamoswine,Ice,10,110,130,80,80,400,Obstagoon,Dark,6,93,90,101,95,249,0,1585,473,862
Porygon-Z,Normal,5,85,80,70,90,325,Pawniard,Dark,6,45,85,70,60,220,0,1586,474,624
Gallade,Psychic,14,68,125,65,80,338,Poochyena,Dark,6,35,55,35,35,160,0,1587,475,261
Mega Gallade,Psychic,14,68,165,95,110,438,Purrloin,Dark,6,41,50,37,66,194,0,1588,475,509
Probopass,Rock,15,60,55,145,40,300,Sableye,Dark,6,50,75,75,50,195,0,1589,476,302
Dusknoir,Ghost,16,45,100,135,45,325,Scrafty,Dark,6,65,90,115,58,278,0,1590,477,560
Froslass,Ice,10,70,80,70,110,330,Scraggy,Dark,6,50,75,70,48,163,0,1591,478,559
Rotom,Electric,8,50,50,77,91,268,Sneasel,Dark,6,55,95,55,115,270,1,1592,479,215
Heat Rotom,Electric,8,50,65,107,86,308,Thievul,Dark,6,70,58,58,90,211,0,1593,479,828
Wash Rotom,Electric,8,50,65,107,86,308,Umbreon,Dark,6,95,65,110,65,270,0,1594,479,197
Frost Rotom,Electric,8,50,65,107,86,308,Vullaby,Dark,6,70,55,75,60,130,0,1595,479,629
Fan Rotom,Electric,8,50,65,107,86,308,Weavile,Dark,6,70,120,65,125,315,1,1596,479,461
Mow Rotom,Electric,8,50,65,107,86,308,Yveltal,Dark,6,126,131,95,99,321,1,1597,479,717
Uxie,Psychic,14,75,75,130,95,375,Zoroark,Dark,6,60,105,60,105,330,0,1598,480,571
Mesprit,Psychic,14,80,105,105,80,370,Zorua,Dark,6,40,65,40,65,210,0,1599,481,570
Azelf,Psychic,14,75,125,70,115,385,Zweilous,Dark,6,72,85,70,58,285,0,1600,482,634
Dialga,Steel,12,100,120,120,90,430,Absol,Dark,6,65,130,60,75,210,0,1601,483,359
Palkia,Water,3,90,120,100,100,410,Alolan Meowth,Dark,6,40,35,35,90,80,0,1602,484,52
Heatran,Fire,2,91,90,106,77,364,Alolan Persian,Dark,6,65,60,60,115,210,0,1603,485,53
Regigigas,Normal,5,110,160,110,100,480,Alolan Raticate,Dark,6,75,71,70,77,133,0,1604,486,20
Giratina Altered Forme,Ghost,16,150,100,120,90,460,Alolan Rattata,Dark,6,30,56,35,72,193,0,1605,487,19
Giratina Origin Forme,Ghost,16,150,120,100,90,460,Bisharp,Dark,6,65,125,100,70,300,0,1606,487,625
Cresselia,Psychic,14,120,70,120,85,395,Darkrai,Dark,6,70,90,90,125,375,0,1607,488,491
Phione,Water,3,80,80,80,80,320,Deino,Dark,6,52,65,50,38,165,0,1608,489,633
Manaphy,Water,3,100,100,100,100,400,Galarian Linoone,Dark,6,78,70,61,100,209,0,1609,490,264
Darkrai,Dark,6,70,90,90,125,375,Galarian Zigzagoon,Dark,6,38,30,41,60,124,0,1610,491,263
Shaymin Land Forme,Grass,1,100,100,100,100,400,Grimmsnarl,Dark,6,95,120,65,60,240,0,1611,492,861
Shaymin Sky Forme,Grass,1,100,103,75,127,405,Guzzlord,Dark,6,223,101,53,43,368.5,0,1612,492,799
Arceus,Normal,5,120,120,120,120,480,Honchkrow,Dark,6,100,125,52,71,228,0,1613,493,430
Victini,Psychic,14,100,100,100,100,400,Houndoom,Dark,6,75,90,50,95,310,0,1614,494,229
Snivy,Grass,1,45,45,55,63,208,Houndour,Dark,6,45,60,30,65,177.5,0,1615,495,228
Servine,Grass,1,60,60,75,83,278,Hydreigon,Dark,6,92,105,90,98,355,1,1616,496,635
Serperior,Grass,1,75,75,95,113,358,Impidimp,Dark,6,45,45,30,50,95,0,1617,497,859
Tepig,Fire,2,65,63,45,45,218,Inkay,Dark,6,53,54,53,45,142,0,1618,498,686
Pignite,Fire,2,90,93,55,55,293,Liepard,Dark,6,64,88,50,106,215,0,1619,499,510
Emboar,Fire,2,110,123,65,65,363,Malamar,Dark,6,86,92,88,73,216,0,1620,500,687
Oshawott,Water,3,55,55,45,45,200,Mandibuzz,Dark,6,110,65,105,80,305,1,1621,501,630
Dewott,Water,3,75,75,60,60,270,Mega Absol,Dark,6,65,150,60,115,315,1,1622,502,359
Samurott,Water,3,95,100,85,70,350,Mega Houndoom,Dark,6,75,90,90,115,170,0,1623,503,229
Patrat,Normal,5,45,55,39,42,181,Mega Sableye,Dark,6,50,85,125,20,280,1,1624,504,302
Watchog,Normal,5,60,85,69,77,291,Mightyena,Dark,6,70,90,70,70,215,0,1625,505,262
Lillipup,Normal,5,45,60,45,55,205,Morgrem,Dark,6,65,60,45,70,180,0,1626,506,860
Herdier,Normal,5,65,80,65,60,270,Murkrow,Dark,6,60,85,42,91,198,0,1627,507,198
Stoutland,Normal,5,85,110,90,80,365,Nickit,Dark,6,40,28,28,50,36,0,1628,508,827
Purrloin,Dark,6,41,50,37,66,194,Obstagoon,Dark,6,93,90,101,95,354,1,1629,509,862
Liepard,Dark,6,64,88,50,106,308,Pawniard,Dark,6,45,85,70,60,216,0,1630,510,624
Pansage,Grass,1,50,53,48,64,215,Poochyena,Dark,6,35,55,35,35,107,0,1631,511,261
Simisage,Grass,1,75,98,63,101,337,Purrloin,Dark,6,41,50,37,66,96,0,1632,512,509
Pansear,Fire,2,50,53,48,64,215,Sableye,Dark,6,50,75,75,50,197,0,1633,513,302
Simisear,Fire,2,75,98,63,101,337,Scrafty,Dark,6,65,90,115,58,230,0,1634,514,560
Panpour,Water,3,50,53,48,64,215,Scraggy,Dark,6,50,75,70,48,190,0,1635,515,559
Simipour,Water,3,75,98,63,101,337,Sneasel,Dark,6,55,95,55,115,222,0,1636,516,215
Munna,Psychic,14,76,25,45,24,170,Thievul,Dark,6,70,58,58,90,276,1,1637,517,828
Musharna,Psychic,14,116,55,85,29,285,Umbreon,Dark,6,95,65,110,65,335,1,1638,518,197
Pidove,Normal,5,50,55,50,43,198,Vullaby,Dark,6,70,55,75,60,205,1,1639,519,629
Tranquill,Normal,5,62,77,62,65,266,Weavile,Dark,6,70,120,65,125,303,1,1640,520,461
Unfezant,Normal,5,80,115,80,93,368,Yveltal,Dark,6,126,131,95,99,336,0,1641,521,717
Blitzle,Electric,8,45,60,32,76,213,Zoroark,Dark,6,60,105,60,105,270,1,1642,522,571
Zebstrika,Electric,8,75,100,63,116,354,Zorua,Dark,6,40,65,40,65,110,0,1643,523,570
Roggenrola,Rock,15,55,75,85,15,230,Zweilous,Dark,6,72,85,70,58,210,0,1644,524,634
Boldore,Rock,15,70,105,105,20,300,Absol,Dark,6,65,130,60,75,225,0,1645,525,359
Gigalith,Rock,15,85,135,130,25,375,Alolan Meowth,Dark,6,40,35,35,90,65,0,1646,526,52
Woobat,Psychic,14,65,45,43,72,225,Alolan Persian,Dark,6,65,60,60,115,300,1,1647,527,53
Swoobat,Psychic,14,67,57,55,114,293,Alolan Raticate,Dark,6,75,71,70,77,293,1,1648,528,20
Drilbur,Ground,9,60,85,40,68,253,Alolan Rattata,Dark,6,30,56,35,72,108,0,1649,529,19
Excadrill,Ground,9,110,135,60,88,393,Bisharp,Dark,6,65,125,100,70,90,0,1650,530,625
Audino,Normal,5,103,60,86,50,299,Darkrai,Dark,6,70,90,90,125,315,1,1651,531,491
Mega Audino,Normal,5,103,60,126,50,339,Deino,Dark,6,52,65,50,38,145,0,1652,531,633
Timburr,Fighting,13,75,80,55,35,245,Galarian Linoone,Dark,6,78,70,61,100,149,0,1653,532,264
Gurdurr,Fighting,13,85,105,85,40,315,Galarian Zigzagoon,Dark,6,38,30,41,60,-41,0,1654,533,263
Conkeldurr,Fighting,13,105,140,95,45,385,Grimmsnarl,Dark,6,95,120,65,60,60,0,1655,534,861
Tympole,Water,3,50,50,40,64,204,Guzzlord,Dark,6,223,101,53,43,395,1,1656,535,799
Palpitoad,Water,3,75,65,55,69,264,Honchkrow,Dark,6,100,125,52,71,283,1,1657,536,430
Seismitoad,Water,3,105,95,75,74,349,Houndoom,Dark,6,75,90,50,95,120,0,1658,537,229
Throh,Fighting,13,120,100,85,45,350,Houndour,Dark,6,45,60,30,65,100,0,1659,538,228
Sawk,Fighting,13,75,125,75,85,360,Hydreigon,Dark,6,92,105,90,98,-115,0,1660,539,635
Sewaddle,Bug,4,45,53,70,42,210,Impidimp,Dark,6,45,45,30,50,117,0,1661,540,859
Swadloon,Bug,4,55,63,90,42,250,Inkay,Dark,6,53,54,53,45,-47,0,1662,541,686
Leavanny,Bug,4,75,103,80,92,350,Liepard,Dark,6,64,88,50,106,102,0,1663,542,510
Venipede,Bug,4,30,45,59,57,191,Malamar,Dark,6,86,92,88,73,159,0,1664,543,687
Whirlipede,Bug,4,40,55,99,47,241,Mandibuzz,Dark,6,110,65,105,80,305,1,1665,544,630
Scolipede,Bug,4,60,100,89,112,361,Mega Absol,Dark,6,65,150,60,115,190,0,1666,545,359
Cottonee,Grass,1,40,27,60,66,193,Mega Houndoom,Dark,6,75,90,90,115,356.5,1,1667,546,229
Whimsicott,Grass,1,60,67,85,116,328,Mega Sableye,Dark,6,50,85,125,20,213,0,1668,547,302
Petilil,Grass,1,45,35,50,30,160,Mightyena,Dark,6,70,90,70,70,265,1,1669,548,262
Lilligant,Grass,1,70,60,75,90,295,Morgrem,Dark,6,65,60,45,70,180,0,1670,549,860
Basculin Red-Striped Form,Water,3,70,92,65,98,325,Murkrow,Dark,6,60,85,42,91,186,0,1671,550,198
Basculin Blue-Striped Form,Water,3,70,92,65,98,325,Nickit,Dark,6,40,28,28,50,54,0,1672,550,827
Sandile,Ground,9,50,72,35,65,222,Obstagoon,Dark,6,93,90,101,95,307,1,1673,551,862
Krokorok,Ground,9,60,82,45,74,261,Pawniard,Dark,6,45,85,70,60,96,0,1674,552,624
Krookodile,Ground,9,95,117,80,92,384,Poochyena,Dark,6,35,55,35,35,43,0,1675,553,261
Darumaka,Fire,2,70,90,45,50,255,Purrloin,Dark,6,41,50,37,66,104,0,1676,554,509
Galarian Darumaka,Ice,10,70,90,45,50,255,Sableye,Dark,6,50,75,75,50,160,0,1677,554,302
Darmanitan,Fire,2,105,140,55,95,395,Scrafty,Dark,6,65,90,115,58,188,0,1678,555,560
Darmanitan Zen,Fire,2,105,30,105,55,295,Scraggy,Dark,6,50,75,70,48,213,0,1679,555,559
Darmanitan Galar,Ice,10,105,140,55,95,395,Sneasel,Dark,6,55,95,55,115,250,0,1680,555,215
Darmanitan Galar Zen,Ice,10,105,160,55,135,455,Thievul,Dark,6,70,58,58,90,116,0,1681,555,828
Maractus,Grass,1,75,86,67,60,288,Umbreon,Dark,6,95,65,110,65,249,0,1682,556,197
Dwebble,Bug,4,50,65,85,55,255,Vullaby,Dark,6,70,55,75,60,195,0,1683,557,629
Crustle,Bug,4,70,105,125,45,345,Weavile,Dark,6,70,120,65,125,170,0,1684,558,461
Scraggy,Dark,6,50,75,70,48,243,Yveltal,Dark,6,126,131,95,99,413.5,1,1685,559,717
Scrafty,Dark,6,65,90,115,58,328,Zoroark,Dark,6,60,105,60,105,285,0,1686,560,571
Sigilyph,Psychic,14,72,58,80,97,307,Zorua,Dark,6,40,65,40,65,210,0,1687,561,570
Yamask,Ghost,16,38,30,85,30,183,Zweilous,Dark,6,72,85,70,58,270,1,1688,562,634
Galarian Yamask,Ground,9,38,55,85,30,208,Absol,Dark,6,65,130,60,75,275,1,1689,562,359
Cofagrigus,Ghost,16,58,50,145,30,283,Alolan Meowth,Dark,6,40,35,35,90,175,0,1690,563,52
Tirtouga,Water,3,54,78,103,22,257,Alolan Persian,Dark,6,65,60,60,115,222,0,1691,564,53
Carracosta,Water,3,74,108,133,32,347,Alolan Raticate,Dark,6,75,71,70,77,185,0,1692,565,20
Archen,Rock,15,55,112,45,70,282,Alolan Rattata,Dark,6,30,56,35,72,81,0,1693,566,19
Archeops,Rock,15,75,140,65,110,390,Bisharp,Dark,6,65,125,100,70,290,0,1694,567,625
Trubbish,Poison,7,50,50,62,65,227,Darkrai,Dark,6,70,90,90,125,325,1,1695,568,491
Garbodor,Poison,7,80,95,82,75,332,Deino,Dark,6,52,65,50,38,110,0,1696,569,633
Zorua,Dark,6,40,65,40,65,210,Galarian Linoone,Dark,6,78,70,61,100,276.5,1,1697,570,264
Zoroark,Dark,6,60,105,60,105,330,Galarian Zigzagoon,Dark,6,38,30,41,60,116.5,0,1698,571,263
Minccino,Normal,5,55,50,40,75,220,Grimmsnarl,Dark,6,95,120,65,60,290,1,1699,572,861
Cinccino,Normal,5,75,95,60,115,345,Guzzlord,Dark,6,223,101,53,43,325,0,1700,573,799
Gothita,Psychic,14,45,30,50,45,170,Honchkrow,Dark,6,100,125,52,71,348,1,1701,574,430
Gothorita,Psychic,14,60,45,70,55,230,Houndoom,Dark,6,75,90,50,95,310,1,1702,575,229
Gothitelle,Psychic,14,70,55,95,65,285,Houndour,Dark,6,45,60,30,65,200,0,1703,576,228
Solosis,Psychic,14,45,30,40,20,135,Hydreigon,Dark,6,92,105,90,98,385,1,1704,577,635
Duosion,Psychic,14,65,40,50,30,185,Impidimp,Dark,6,45,45,30,50,170,0,1705,578,859
Reuniclus,Psychic,14,110,65,75,30,280,Inkay,Dark,6,53,54,53,45,205,0,1706,579,686
Ducklett,Water,3,62,44,50,55,211,Liepard,Dark,6,64,88,50,106,264,1,1707,580,510
Swanna,Water,3,75,87,63,98,323,Malamar,Dark,6,86,92,88,73,252,0,1708,581,687
Vanillite,Ice,10,36,50,50,44,180,Mandibuzz,Dark,6,110,65,105,80,260,1,1709,582,630
Vanillish,Ice,10,51,65,65,59,240,Mega Absol,Dark,6,65,150,60,115,325,1,1710,583,359
Vanilluxe,Ice,10,71,95,85,79,330,Mega Houndoom,Dark,6,75,90,90,115,322.5,0,1711,584,229
Deerling,Normal,5,60,60,50,75,245,Mega Sableye,Dark,6,50,85,125,20,280,1,1712,585,302
Sawsbuck,Normal,5,80,100,70,95,345,Mightyena,Dark,6,70,90,70,70,200,0,1713,586,262
Emolga,Electric,8,55,75,60,103,293,Morgrem,Dark,6,65,60,45,70,165,0,1714,587,860
Karrablast,Bug,4,50,75,45,60,230,Murkrow,Dark,6,60,85,42,91,203,0,1715,588,198
Escavalier,Bug,4,70,135,105,20,330,Nickit,Dark,6,40,28,28,50,-124,0,1716,589,827
Foongus,Grass,1,69,55,45,15,184,Obstagoon,Dark,6,93,90,101,95,324,1,1717,590,862
Amoonguss,Grass,1,114,85,70,30,299,Pawniard,Dark,6,45,85,70,60,217.5,0,1718,591,624
Frillish,Water,3,55,40,50,40,185,Poochyena,Dark,6,35,55,35,35,120,0,1719,592,261
Jellicent,Water,3,100,60,70,60,290,Purrloin,Dark,6,41,50,37,66,134,0,1720,593,509
Alomomola,Water,3,165,75,80,65,385,Sableye,Dark,6,50,75,75,50,175,0,1721,594,302
Joltik,Bug,4,50,47,50,65,212,Scrafty,Dark,6,65,90,115,58,281,1,1722,595,560
Galvantula,Bug,4,70,77,60,108,315,Scraggy,Dark,6,50,75,70,48,166,0,1723,596,559
Ferroseed,Grass,1,44,50,91,10,195,Sneasel,Dark,6,55,95,55,115,270,1,1724,597,215
Ferrothorn,Grass,1,74,94,131,20,319,Thievul,Dark,6,70,58,58,90,182,0,1725,598,828
Klink,Steel,12,40,55,70,30,195,Umbreon,Dark,6,95,65,110,65,280,1,1726,599,197
Klang,Steel,12,60,80,95,50,285,Vullaby,Dark,6,70,55,75,60,180,0,1727,600,629
Klinklang,Steel,12,60,100,115,90,365,Weavile,Dark,6,70,120,65,125,180,0,1728,601,461
Tynamo,Electric,8,35,55,40,60,190,Yveltal,Dark,6,126,131,95,99,341,1,1729,602,717
Eelektrik,Electric,8,65,85,70,40,260,Zoroark,Dark,6,60,105,60,105,245,0,1730,603,571
Eelektross,Electric,8,85,115,80,50,330,Zorua,Dark,6,40,65,40,65,95,0,1731,604,570
Elgyem,Psychic,14,55,55,55,30,195,Zweilous,Dark,6,72,85,70,58,285,1,1732,605,634
Beheeyem,Psychic,14,75,75,75,40,265,Absol,Dark,6,65,130,60,75,330,1,1733,606,359
Litwick,Ghost,16,50,30,55,20,155,Alolan Meowth,Dark,6,40,35,35,90,185,1,1734,607,52
Lampent,Ghost,16,60,40,60,55,215,Alolan Persian,Dark,6,65,60,60,115,280,1,1735,608,53
Chandelure,Ghost,16,60,55,90,80,285,Alolan Raticate,Dark,6,75,71,70,77,293,1,1736,609,20
Axew,Dragon,17,46,87,60,57,250,Alolan Rattata,Dark,6,30,56,35,72,106,0,1737,610,19
Fraxure,Dragon,17,66,117,70,67,320,Bisharp,Dark,6,65,125,100,70,301.5,0,1738,611,625
Haxorus,Dragon,17,76,147,90,97,410,Darkrai,Dark,6,70,90,90,125,228,0,1739,612,491
Cubchoo,Ice,10,55,70,40,40,205,Deino,Dark,6,52,65,50,38,65,0,1740,613,633
Beartic,Ice,10,95,130,80,50,355,Galarian Linoone,Dark,6,78,70,61,100,179,0,1741,614,264
Cryogonal,Ice,10,80,50,50,105,285,Galarian Zigzagoon,Dark,6,38,30,41,60,119,0,1742,615,263
Shelmet,Bug,4,50,40,85,25,200,Grimmsnarl,Dark,6,95,120,65,60,300,1,1743,616,861
Accelgor,Bug,4,80,70,40,145,335,Guzzlord,Dark,6,223,101,53,43,280,0,1744,617,799
Stunfisk,Ground,9,109,66,84,32,291,Honchkrow,Dark,6,100,125,52,71,348,1,1745,618,430
Galarian Stunfisk,Ground,9,109,81,99,32,321,Houndoom,Dark,6,75,90,50,95,148,0,1746,618,229
Mienfoo,Fighting,13,45,85,50,65,245,Houndour,Dark,6,45,60,30,65,115,0,1747,619,228
Mienshao,Fighting,13,65,125,60,105,355,Hydreigon,Dark,6,92,105,90,98,-115,0,1748,620,635
Druddigon,Dragon,17,77,120,90,48,335,Impidimp,Dark,6,45,45,30,50,170,0,1749,621,859
Golett,Ground,9,59,74,50,35,218,Inkay,Dark,6,53,54,53,45,131,0,1750,622,686
Golurk,Ground,9,89,124,80,55,348,Liepard,Dark,6,64,88,50,106,184,0,1751,623,510
Pawniard,Dark,6,45,85,70,60,260,Malamar,Dark,6,86,92,88,73,254,0,1752,624,687
Bisharp,Dark,6,65,125,100,70,360,Mandibuzz,Dark,6,110,65,105,80,297.5,0,1753,625,630
Bouffalant,Normal,5,95,110,95,55,355,Mega Absol,Dark,6,65,150,60,115,280,0,1754,626,359
Rufflet,Normal,5,70,83,50,60,263,Mega Houndoom,Dark,6,75,90,90,115,287,1,1755,627,229
Braviary,Normal,5,100,123,75,80,378,Mega Sableye,Dark,6,50,85,125,20,280,0,1756,628,302
Vullaby,Dark,6,70,55,75,60,260,Mightyena,Dark,6,70,90,70,70,272.5,1,1757,629,262
Mandibuzz,Dark,6,110,65,105,80,360,Morgrem,Dark,6,65,60,45,70,223.75,0,1758,630,860
Heatmor,Fire,2,85,97,66,65,313,Murkrow,Dark,6,60,85,42,91,181,0,1759,631,198
Durant,Bug,4,58,109,112,109,388,Nickit,Dark,6,40,28,28,50,-72,0,1760,632,827
Deino,Dark,6,52,65,50,38,205,Obstagoon,Dark,6,93,90,101,95,346.5,1,1761,633,862
Zweilous,Dark,6,72,85,70,58,285,Pawniard,Dark,6,45,85,70,60,217.5,0,1762,634,624
Hydreigon,Dark,6,92,105,90,98,385,Poochyena,Dark,6,35,55,35,35,107.5,0,1763,635,261
Larvesta,Bug,4,55,85,55,60,255,Purrloin,Dark,6,41,50,37,66,24,0,1764,636,509
Volcarona,Bug,4,85,60,65,100,310,Sableye,Dark,6,50,75,75,50,190,0,1765,637,302
Cobalion,Steel,12,91,90,129,108,418,Scrafty,Dark,6,65,90,115,58,238,0,1766,638,560
Terrakion,Rock,15,91,129,90,108,418,Scraggy,Dark,6,50,75,70,48,178.5,0,1767,639,559
Virizion,Grass,1,91,90,72,108,361,Sneasel,Dark,6,55,95,55,115,230,0,1768,640,215
Tornadus Incarnate Forme,Flying,18,79,115,70,111,375,Thievul,Dark,6,70,58,58,90,161,0,1769,641,828
Tornadus Therian Forme,Flying,18,79,100,80,121,380,Umbreon,Dark,6,95,65,110,65,235,0,1770,641,197
Thundurus Incarnate,Electric,8,79,115,70,111,375,Vullaby,Dark,6,70,55,75,60,30,0,1771,642,629
Thundurus Therian,Electric,8,79,105,70,101,355,Weavile,Dark,6,70,120,65,125,275,0,1772,642,461
Reshiram,Dragon,17,100,120,100,90,410,Yveltal,Dark,6,126,131,95,99,331,0,1773,643,717
Zekrom,Dragon,17,100,150,120,90,460,Zoroark,Dark,6,60,105,60,105,180,0,1774,644,571
Landorus Incarnatee,Ground,9,89,125,90,101,405,Zorua,Dark,6,40,65,40,65,85,0,1775,645,570
Landorus Theriane,Ground,9,89,145,90,91,415,Zweilous,Dark,6,72,85,70,58,140,0,1776,645,634
Kyurem,Dragon,17,125,130,90,95,440,Absol,Dark,6,65,130,60,75,200,0,1777,646,359
Black Kyurem,Dragon,17,125,170,100,95,490,Alolan Meowth,Dark,6,40,35,35,90,30,0,1778,646,52
White Kyurem,Dragon,17,125,120,90,95,430,Alolan Persian,Dark,6,65,60,60,115,180,0,1779,646,53
Keldeo Ordinary Forme,Water,3,91,72,90,108,361,Alolan Raticate,Dark,6,75,71,70,77,221,0,1780,647,20
Keldeo Resolute Forme,Water,3,91,72,90,108,361,Alolan Rattata,Dark,6,30,56,35,72,121,0,1781,647,19
Meloetta Aria Forme,Normal,5,100,77,77,90,344,Bisharp,Dark,6,65,125,100,70,321.5,0,1782,648,625
Meloetta Pirouette Forme,Normal,5,100,128,90,128,446,Darkrai,Dark,6,70,90,90,125,247,0,1783,648,491
Genesect,Bug,4,71,120,95,99,385,Deino,Dark,6,52,65,50,38,-35,0,1784,649,633
Chespin,Grass,1,56,61,65,38,220,Galarian Linoone,Dark,6,78,70,61,100,248,1,1785,650,264
Quilladin,Grass,1,61,78,95,57,291,Galarian Zigzagoon,Dark,6,38,30,41,60,91,0,1786,651,263
Chesnaught,Grass,1,88,107,122,64,381,Grimmsnarl,Dark,6,95,120,65,60,233,0,1787,652,861
Fennekin,Fire,2,40,45,40,60,185,Guzzlord,Dark,6,223,101,53,43,397.5,1,1788,653,799
Braixen,Fire,2,59,59,58,73,249,Honchkrow,Dark,6,100,125,52,71,289,1,1789,654,430
Delphox,Fire,2,75,69,72,104,320,Houndoom,Dark,6,75,90,50,95,275.5,0,1790,655,229
Froakie,Water,3,41,56,40,71,208,Houndour,Dark,6,45,60,30,65,88,0,1791,656,228
Frogadier,Water,3,54,63,52,97,266,Hydreigon,Dark,6,92,105,90,98,353.5,1,1792,657,635
Greninja,Water,3,72,95,67,122,356,Impidimp,Dark,6,45,45,30,50,75,0,1793,658,859
Ash-Greninja,Water,3,72,145,67,132,416,Inkay,Dark,6,53,54,53,45,60,0,1794,658,686
Bunnelby,Normal,5,38,36,38,57,169,Liepard,Dark,6,64,88,50,106,272,1,1795,659,510
Diggersby,Normal,5,85,56,77,78,296,Malamar,Dark,6,86,92,88,73,283,0,1796,660,687
Fletchling,Normal,5,45,50,43,62,200,Mandibuzz,Dark,6,110,65,105,80,310,1,1797,661,630
Fletchinder,Fire,2,62,73,55,84,274,Mega Absol,Dark,6,65,150,60,115,317,1,1798,662,359
Talonflame,Fire,2,78,81,71,126,356,Mega Houndoom,Dark,6,75,90,90,115,370,1,1799,663,229
Scatterbug,Bug,4,38,35,40,35,148,Mega Sableye,Dark,6,50,85,125,20,245,1,1800,664,302
Spewpa,Bug,4,45,22,60,29,156,Mightyena,Dark,6,70,90,70,70,256,1,1801,665,262
Vivillon,Bug,4,80,52,50,89,271,Morgrem,Dark,6,65,60,45,70,188,0,1802,666,860
Litleo,Fire,2,62,50,58,72,242,Murkrow,Dark,6,60,85,42,91,228,0,1803,667,198
Pyroar,Fire,2,86,68,72,106,332,Nickit,Dark,6,40,28,28,50,78,0,1804,668,827
Flab̩b̩,Fairy,11,44,38,39,42,163,Obstagoon,Dark,6,93,90,101,95,303,1,1805,669,862
Floette,Fairy,11,54,45,47,52,198,Pawniard,Dark,6,45,85,70,60,215,1,1806,670,624
Florges,Fairy,11,78,65,68,75,286,Poochyena,Dark,6,35,55,35,35,30,0,1807,671,261
Skiddo,Grass,1,66,65,48,52,231,Purrloin,Dark,6,41,50,37,66,129,0,1808,672,509
Gogoat,Grass,1,123,100,62,68,353,Sableye,Dark,6,50,75,75,50,150,0,1809,673,302
Pancham,Fighting,13,67,82,62,43,254,Scrafty,Dark,6,65,90,115,58,0,0,1810,674,560
Pangoro,Fighting,13,95,124,78,58,355,Scraggy,Dark,6,50,75,70,48,-253,0,1811,675,559
Furfrou,Normal,5,75,80,60,102,317,Sneasel,Dark,6,55,95,55,115,240,0,1812,676,215
Espurr,Psychic,14,62,48,54,68,232,Thievul,Dark,6,70,58,58,90,276,1,1813,677,828
Meowstic Male,Psychic,14,74,48,76,104,302,Umbreon,Dark,6,95,65,110,65,335,1,1814,678,197
Meowstic Female,Psychic,14,74,48,76,104,302,Vullaby,Dark,6,70,55,75,60,260,0,1815,678,629
Honedge,Steel,12,45,80,100,28,253,Weavile,Dark,6,70,120,65,125,220,0,1816,679,461
Doublade,Steel,12,59,110,150,35,354,Yveltal,Dark,6,126,131,95,99,341,0,1817,680,717
Aegislash Blade,Steel,12,60,150,50,60,320,Zoroark,Dark,6,60,105,60,105,180,0,1818,681,571
Aegislash Shield,Steel,12,60,50,150,60,320,Zorua,Dark,6,40,65,40,65,160,0,1819,681,570
Spritzee,Fairy,11,78,52,60,23,213,Zweilous,Dark,6,72,85,70,58,77,0,1820,682,634
Aromatisse,Fairy,11,101,72,72,29,274,Absol,Dark,6,65,130,60,75,186,0,1821,683,359
Swirlix,Fairy,11,62,48,66,49,225,Alolan Meowth,Dark,6,40,35,35,90,104,0,1822,684,52
Slurpuff,Fairy,11,82,80,86,72,320,Alolan Persian,Dark,6,65,60,60,115,140,0,1823,685,53
Inkay,Dark,6,53,54,53,45,205,Alolan Raticate,Dark,6,75,71,70,77,266,1,1824,686,20
Malamar,Dark,6,86,92,88,73,339,Alolan Rattata,Dark,6,30,56,35,72,147,0,1825,687,19
Binacle,Rock,15,42,52,67,50,211,Bisharp,Dark,6,65,125,100,70,334,1,1826,688,625
Barbaracle,Rock,15,72,105,115,68,360,Darkrai,Dark,6,70,90,90,125,270,0,1827,689,491
Skrelp,Poison,7,50,60,60,30,200,Deino,Dark,6,52,65,50,38,145,0,1828,690,633
Dragalge,Poison,7,65,75,90,44,274,Galarian Linoone,Dark,6,78,70,61,100,234,0,1829,691,264
Clauncher,Water,3,50,53,62,44,209,Galarian Zigzagoon,Dark,6,38,30,41,60,116,0,1830,692,263
Clawitzer,Water,3,71,73,88,59,291,Grimmsnarl,Dark,6,95,120,65,60,267,0,1831,693,861
Helioptile,Electric,8,44,38,33,70,185,Guzzlord,Dark,6,223,101,53,43,401,1,1832,694,799
Heliolisk,Electric,8,62,55,52,109,278,Honchkrow,Dark,6,100,125,52,71,238,0,1833,695,430
Tyrunt,Rock,15,58,89,77,48,272,Houndoom,Dark,6,75,90,50,95,132,0,1834,696,229
Tyrantrum,Rock,15,82,121,119,71,393,Houndour,Dark,6,45,60,30,65,-42,0,1835,697,228
